"Taux débiteurs"
"Enquête trimestrielle de Bank AL-MAGHRIB sur les taux débiteurs"
;2018;;;;2019;;;;2020;;;;Δ
;T1;T2;T3;T4;T1;T2;T3;T4;T1;T2;T3;T4;T4-2020/T3-2020
"Taux débiteur";5,25;5,17;5,10;5,09;5,02;4,98;5,09;4,91;4,89;4,55;4,34;4,42;up
"Comptes débiteurs et crédits de trésorerie";5,04;4,86;4,79;4,85;4,76;4,74;4,78;4,70;4,70;4,45;3,99;4,12;up
"Crédits à l'équipement";4,88;4,99;4,89;4,90;4,57;5,17;5,28;4,61;4,56;4,21;4,50;4,21;down
"Crédits immobiliers";5,15;5,26;5,32;5,31;5,13;4,82;5,22;5,34;5,22;5,24;4,79;4,91;up
"Crédits à la consommation";6,76;6,84;6,61;6,84;6,74;6,71;6,72;6,66;6,55;6,56;6,46;6,40;down
