"Taux débiteurs"
"Enquête trimestrielle de Bank AL-MAGHRIB sur les taux débiteurs"
;2020;;;;2021;;;;2022;;;;Δ
;T1;T2;T3;T4;T1;T2;T3;T4;T1;T2;T3;T4;T4-2022/T3-2022
"Taux débiteur";4,89;4,55;4,34;4,42;4,45;4,32;4,35;4,44;4,28;4,29;4,24;4,50;up
"Comptes débiteurs et crédits de trésorerie";4,70;4,45;3,99;4,12;4,08;4,00;4,00;4,11;3,90;3,92;3,97;4,35;up
"Crédits à l'équipement";4,56;4,21;4,50;4,21;4,42;4,10;4,79;4,56;4,30;4,56;4,14;4,40;up
"Crédits immobiliers";5,22;5,24;4,79;4,91;4,74;4,52;4,72;4,82;4,60;4,65;4,69;4,84;up
"Crédits à la consommation";6,55;6,56;6,46;6,40;6,50;6,64;6,51;6,47;6,50;6,32;6,39;6,40;up
